Description,Ticker,Field ID,Field Mnemonic,Data State,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov
        ETRACS 2xMonthly Leveraged Ale,MLPQ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Dorsey Wright MLP Index ETNs,BMLP US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        SPDR S&P International Energy,1863801D US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        VanEck Vectors Unconventional,FRAK US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Natural Gas Rel,GASL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco S&P SmallCap Energy ET,PSCE US Equity,0.0,0.0,Expression,4.769539,4.260468,-11.943269,5.245413,-4.410284,-6.103659,74.058565,13.319614,-4.379377,4.588915,7.265642,6.390971,9.322673,0.0
        ETRACS Alerian MLP Infrastruct,MLPB US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,-9.3913,-16.7607,-15.63136,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Energy Bear 2X,ERY US Equity,0.0,0.0,Expression,6.596704,15.958142,-16.934676,-0.029838,-4.386252,-4.450323,1.530016,-8.155287,0.107139,-0.202347,5.749822,4.981196,-7.614457,0.0
        VanEck Vectors High Income Inf,YMLI US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares MSCI Global Energy Pro,FILL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,-7.230105,0.0,0.0,-4.59474,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares UltraShort Energy,DUG US Equity,0.0,0.0,Expression,9.5856,21.29871,-14.382595,-0.873545,-10.663935,-12.944625,2.38866,-4.919645,-0.045835,10.071915,2.241815,0.504045,-3.90519,0.0
        Credit Suisse X-Links WTI Crud,OIIL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Alerian Energy Infrastructure,ENFR US Equity,0.0,0.0,Expression,-4.833228,8.791523,-1.552014,-4.984348,-1.660559,-1.001021,-1.072338,-2.556666,-2.674677,-1.120745,0.0,0.0,2.273759,0.0
        Invesco Dynamic Oil & Gas Serv,PXJ US Equity,0.0,0.0,Expression,21.515638,7.27341,9.355053,9.340544,11.195463,5.187361,-6.352766,-41.827621,-5.283634,-3.938991,-0.581204,8.658512,38.160264,0.0
        ETRACS S&P GSCI Crude Oil Tota,OILX US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        VanEck Uranium + Nuclear Energ,NLR US Equity,0.0,0.0,Expression,3.964347,1.381883,-2.786531,0.0,1.450428,1.317336,1.376054,0.0,-2.90184,8.981529,10.832729,18.690391,1.442752,0.0
        ETRACS Alerian MLP Index ETN S,AMUB US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,-7.0041,-11.11416,-11.36528,0.0,0.0,0.0,0.0,0.0
        ETRACS Monthly Pay 2xLeveraged,LRET US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        X-Links Monthly Pay 2xLeverage,AMJL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco Canadian Energy Income,ENY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Invesco WilderHill Progressive,PUW US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Alerian Natural Gas MLP,MLPG US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily S&P Oil & Gas E,DRIP US Equity,0.0,0.0,Expression,39.44621,13.328905,-37.788091,4.514287,-21.818833,-16.694314,0.430555,-11.845091,7.674859,29.575524,14.258836,2.117128,-17.755513,0.0
        John Hancock Multifactor Energ,JHME US Equity,0.0,0.0,Expression,-5.626074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares MSCI Kuwait ETF,KWT US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,21.557265,3.17776,0.0,4.76734,1.54721,0.0,0.0,0.0,0.0,0.0
        United States Short Oil Fund L,DNO US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Global X Junior MLP ETF,MLPJ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS 1xMonthly Short Alerian,MLPS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Natural Gas Rel,GASX US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        VanEck Oil Refiners ETF,CRAK US Equity,0.0,0.0,Expression,0.0,0.0,0.0,-1.549359,0.0,0.0,-1.548721,-0.754184,-2.262839,-3.329321,0.0,0.0,-0.026722,0.0
        ProShares Short Oil & Gas,DDG US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        First Trust Nasdaq Oil & Gas E,FTXN US Equity,0.0,0.0,Expression,-6.383612,50.12502,7.391941,22.907093,14.494581,-853.881673,-22.226206,-24.1233,-21.1305,-19.3205,0.034988,7.939931,9.050643,0.0
        IQ Global Oil Small Cap ETF,IOIL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Edge MSCI Multifactor,ERGF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Global X MSCI China Energy ETF,CHIE US Equity,0.0,0.0,Expression,1.563,-0.7405,0.0,1.2512,0.0,0.0,-0.7665,0.4878,-3.3741,-0.298,-1.2996,0.0,0.0,0.0
        Proshares Ultra Oil & Gas Expl,UOP US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Elkhorn S&P MidCap Energy Port,XE US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Shares Etf Trust-Dire,ERYY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iPath Global Carbon ETN,GRNTF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,-0.665054,0.0,0.0,-0.124083,0.0,0.0,0.0,0.0
        Proshares Ultrashort Oil & Gas,SOP US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        C-Tracks ETNs on the Miller/Ho,MLPE US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Amylyx Pharmaceuticals Inc,AMLX US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Cushing 30 MLP Index ETNs due,PPLN US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Harbor Energy Transition Strat,RENW US Equity,0.0,0.0,Expression,0.0,0.0,0.0,4.10755,0.0,0.0,0.0,4.618002,0.357425,0.0,0.0,0.0,0.0,0.0
        Pacer American Energy Independ,USAI US Equity,0.0,0.0,Expression,1.33531,1.41689,0.0,0.0,2.77626,0.0,0.0,-2.576795,0.0,-2.733425,-1.395825,0.0,0.0,0.0
        ETRACS NYSE Pickens Core Midst,PYPE US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,-10.44855,-6.12567,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors U.S. Big Oil Inde,NRGD US Equity,0.0,0.0,Expression,52.866631,57.789985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Oil Index,NRGO US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Oil Index,NRGU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Oil Index,NRGZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Cushing Energy & MLP ETF,XLEY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Cushing Energy Supply Chain &,XLSY US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Oil Index,YGRN US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Alerian Midstream Energ,AMNA US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Alerian Midstream Energ,AMND US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Alerian Midstream Energ,AMTR US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETRACS Quarterly Pay 1.5X Leve,MLPR US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors Oil & Gas Explora,OILU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,16.737401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors Oil & Gas Explora,OILD US Equity,0.0,0.0,Expression,9.807265,5.823261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        USCF Midstream Energy Income F,UMI US Equity,0.0,0.0,Expression,3.266635,5.318616,1.65028,3.500354,8.531107,4.938594,0.0,1.624491,1.697866,1.771513,0.0,3.55908,0.0,0.0
        Direxion Daily Oil Services Bu,ONG US Equity,0.0,0.0,Expression,1.768136,-3.753818,-1.681058,0.0,0.0,0.0,-1.565759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Subversive Decarbonization ETF,DKRB US Equity,0.0,0.0,Expression,0.0,0.0,0.615393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Strive US Energy ETF,DRLL US Equity,0.0,0.0,Expression,31.128788,24.571638,-3.487057,4.530917,-30.816947,1.411287,0.284329,0.537312,-1.091252,-2.780888,-1.749303,-1.817682,-2.528236,0.0
        FT Energy Income Partners Stra,EIPX US Equity,0.0,0.0,Expression,0.0,85.285609,1.964764,15.904828,9.23,3.8665,2.062,11.864,4.975,-0.017,4.19114,6.427956,60.394528,0.0
        Horizon Kinetics Energy Remedi,NVIR US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,1.20941,0.0,0.0,0.0,0.0,0.0,2.024032,-1.30194,0.0
        Trueshares Eagle Global Renewa,RNWZ US Equity,0.0,0.0,Expression,0.0,0.0,2.49508,0.0,0.0,0.0,0.0,0.0,0.485673,0.0,-0.233591,0.0,0.0,0.0
        Innovator Hedged TSLA ETF,TSLH US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,-0.47692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        AXS TSLA Bear Daily ETF,TSLQ US Equity,0.0,0.0,Expression,-19.231672,0.700925,7.092074,132.301578,40.531876,-85.71811,-4.198904,-15.683705,46.335312,11.413445,-33.229725,2.733403,8.563357,0.0
        MicroSectors Energy -3X Invers,WTID US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors Energy 3X Leverag,WTIU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Financial,0,0.0,0.0,Sum,1364.508677,162.070987,-1658.996821,-135.073728,1646.510676,18.868501,1756.472697,-2486.779395,1710.443254,2367.85811,-2493.790094,-1879.350266,-3602.095968,0.0
        Financial Select Sector SPDR F,XLF US Equity,0.0,0.0,Expression,1021.459733,318.116674,-454.587097,228.42452,560.574883,-590.368233,1897.458329,-2437.984352,2161.671489,1855.553528,-1834.96601,-1495.666443,-2082.909777,0.0
        Vanguard Financials ETF,VFH US Equity,0.0,0.0,Expression,-82.282918,-4.38175,-189.97125,54.989,-135.38433,-321.78125,-16.407593,181.015987,-233.577703,615.808409,-26.032795,-78.3,-813.37979,0.0
        SPDR S&P Regional Banking ETF,KRE US Equity,0.0,0.0,Expression,244.695219,-343.936788,-277.785077,-241.376164,-203.999724,1363.877984,208.842245,0.090983,63.811651,96.032159,-408.56327,-133.058751,-117.832993,0.0
        SPDR S&P Bank ETF,KBE US Equity,0.0,0.0,Expression,103.98148,-93.245088,-289.226415,-59.007644,-90.900736,118.105272,5.684717,-103.25866,97.07342,-150.098537,75.328167,-213.699309,-39.768866,0.0
        iShares US Financials ETF,IYF US Equity,0.0,0.0,Expression,24.87444,-4.75844,-41.50369,-27.599305,0.01278,-62.941425,-21.67461,-56.59589,-10.94065,3.23924,0.176495,33.365008,7.268185,0.0
        Direxion Daily Financial Bull,FAS US Equity,0.0,0.0,Expression,-75.329477,-46.569319,-39.592064,-99.069874,-31.446187,383.870342,-117.609468,46.256328,-58.644003,-62.729797,-34.781465,-23.128929,35.127063,0.0
        iShares U.S. Financial Service,IYG US Equity,0.0,0.0,Expression,-7.040275,-8.10894,-23.588545,-17.06875,-17.143595,-113.90915,-7.552665,-37.19505,-7.691865,-7.342345,-16.34406,15.603851,-31.052066,0.0
        iShares MSCI Europe Financials,EUFN US Equity,0.0,0.0,Expression,-41.617715,-4.21915,-25.288615,15.22291,141.871465,-6.31761,0.0,-39.97079,-40.90961,-2.46217,-6.83179,-100.762915,-190.087127,0.0
        First Trust Nasdaq Bank ETF,FTXO US Equity,0.0,0.0,Expression,0.0,-2.86552,-2.666169,12.211319,-2.778134,-4.284743,-16.110387,-12.950968,-2.098,-4.505,2.45555,-1.096318,-1.023829,0.0
        First Trust Financial AlphaDEX,FXO US Equity,0.0,0.0,Expression,-31.42567,-0.365136,-11.936543,-14.735395,1064.821,-769.2235,-72.7405,-95.142,-53.3355,-44.296,-35.395824,-19.754077,-27.218247,0.0
        SPDR S&P Insurance ETF,KIE US Equity,0.0,0.0,Expression,52.149235,79.819872,-86.959895,-30.542105,62.829085,-72.892057,59.422613,-35.847848,-6.252274,30.238285,-15.50893,80.243422,19.769134,0.0
        Fidelity MSCI Financials Index,FNCL US Equity,0.0,0.0,Expression,-9.458235,-9.789675,-19.348635,-47.062115,-7.82657,-8.91228,-24.76136,-24.382325,-9.12118,-12.39536,-4.84014,-4.6524,-11.25843,0.0
        ProShares Ultra Financials,UYG US Equity,0.0,0.0,Expression,-2.094805,-0.39698,-4.696125,-2.65444,-5.12044,2.131555,-2.11278,-6.360655,-4.419985,-2.424145,-4.67808,-2.31582,-8.40867,0.0
        Invesco KBW Bank ETF,KBWB US Equity,0.0,0.0,Expression,60.186877,37.909835,-256.435966,49.673316,426.891484,-436.454114,1.646502,-26.972385,34.178116,514.529245,-85.345546,-53.975264,-415.623967,0.0
        iShares US Regional Banks ETF,IAT US Equity,0.0,0.0,Expression,-11.98151,-7.751375,-28.5142,-20.05892,-5.27505,292.71557,-79.086755,86.773695,30.34188,-131.3755,-58.8476,-5.019549,-22.510052,0.0
        iShares Global Financials ETF,IXG US Equity,0.0,0.0,Expression,0.34418,-255.64402,17.8536,52.03898,-70.100115,-81.54816,-21.481275,6.90728,0.0,-10.667865,0.0,-7.296098,-6.708918,0.0
        First Trust NASDAQ ABA Communi,QABA US Equity,0.0,0.0,Expression,29.95621,44.516565,26.812338,-5.201,-35.7085,-26.862,-4.1905,-7.38,-8.177,-2.058,-6.525789,-1.985153,-1.891069,0.0
        Invesco KBW High Dividend Yiel,KBWD US Equity,0.0,0.0,Expression,-28.292061,7.865225,-1.942095,1.473684,2.705939,2.079393,4.596149,-2.157363,1.386621,2.555936,1.301213,0.0,-2.44921,0.0
        Invesco S&P 500 Equal Weight F,RYF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.250162,-15.223258,-9.92621,-3.167985,-13.048291,0.0
        Invesco S&P SmallCap Financial,PSCF US Equity,0.0,0.0,Expression,-0.501836,-1.531407,-3.400312,-1.494792,-0.520087,0.0,-0.84914,-0.808455,-0.430115,-0.472363,0.0,-1.284145,-0.81796,0.0
        Direxion Daily Financial Bear,FAZ US Equity,0.0,0.0,Expression,48.769477,23.459858,-30.007961,32.834069,-12.991875,-50.668731,5.222731,-16.727688,8.012305,19.938167,35.37437,-55.574223,-10.377947,0.0
        VanEck BDC Income ETF,BIZD US Equity,0.0,0.0,Expression,12.710776,7.662308,19.715033,8.965514,16.698192,18.03075,3.693903,7.505671,32.899883,-4.424404,10.38032,56.018616,17.617141,0.0
        iShares U.S. Insurance ETF,IAK US Equity,0.0,0.0,Expression,59.338155,127.440675,18.34592,0.16549,-9.354325,-71.18812,-17.338405,-30.103525,-42.9517,-13.008355,-31.754245,0.0,27.861106,0.0
        Invesco KBW Regional Banking E,KBWR US Equity,0.0,0.0,Expression,-0.03175,4.94627,-11.24407,-1.724165,-4.775682,9.064151,0.924139,2.97459,0.453632,-4.683881,-0.513301,-2.621778,-2.144575,0.0
        iShares U.S. Broker-Dealers &,IAI US Equity,0.0,0.0,Expression,5.055635,297.138515,9.57281,15.184125,-9.915025,-25.41316,-97.3569,-17.60272,-213.05748,-31.59975,-14.08913,-4.62838,4.17775,0.0
        Invesco KBW Property & Casualt,KBWP US Equity,0.0,0.0,Expression,-9.044199,11.134637,29.558974,3.028486,29.8319,-7.754264,-6.76721,-25.876084,-47.341996,-81.30296,-57.438426,-3.390399,9.419561,0.0
        SPDR S&P Capital Markets ETF,KCE US Equity,0.0,0.0,Expression,-1.800928,-2.155166,1.997003,6.417304,0.0,-0.011903,-2.01711,-3.94261,29.087081,4.568828,71.440501,102.936903,10.637033,0.0
        Invesco DWA Financial Momentum,PFI US Equity,0.0,0.0,Expression,-1.717973,0.00525,0.0,-26.479431,-0.875129,-3.102715,-0.818532,-0.403927,-1.647566,0.0,-0.843265,-0.414438,0.0,0.0
        Davis Select Financial ETF,DFNL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,-5.868038,0.0,-2.6207,0.0,0.0,0.0,-2.75351,-1.372478,0.0,0.0
        ProShares UltraShort Financial,SKF US Equity,0.0,0.0,Expression,1.254082,-0.025185,4.461773,-2.274703,-0.445003,2.572972,1.968078,1.93424,-3.780585,0.00541,-0.42168,-0.963293,0.508992,0.0
        John Hancock Multi-Factor Fina,JHMF US Equity,0.0,0.0,Expression,-2.992769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        WisdomTree Japan Hedged Financ,DXJF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Global X MSCI China Financials,CHIX US Equity,0.0,0.0,Expression,0.0,0.0,-5.4675,-5.3013,0.0,0.0,0.0,0.0,-1.098,0.0,0.0,0.0,0.0,0.0
        Invesco S&P Financials Revenue,RWW US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily Regional Banks,DPST US Equity,0.0,0.0,Expression,2.215255,-9.127878,16.197431,-14.923565,-10.192158,349.561637,76.309172,161.130671,12.023224,-189.48421,-34.45761,46.39645,66.311475,0.0
        ProShares Short Financials,SEF US Equity,0.0,0.0,Expression,3.560755,-4.323645,0.605955,0.62988,-2.415145,10.846885,1.760815,0.54485,-1.271445,-8.68052,-1.959635,-0.64197,-1.386635,0.0
        ProShares UltraPro Financial S,1848835D US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares Ultra S&P Regional B,KRU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        SPDR S&P International Financi,IPF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Shares Etf Trust-Dire,WDRW US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily European Financ,EUFL US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Edge MSCI Multifactor,FNCF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares UltraPro Short Finan,FINZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Shares Etf Trust-Dire,FAZZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Direxion Daily European Financ,EUFS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ProShares Short S&P Regional B,KRS US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        ETF Industry Exposure & Financ,TETF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Elkhorn S&P MidCap Financials,XF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        iShares Evolved US Financials,IEFN US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Banks Inde,BNKD US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.478142,0.0,0.0,0.0,0.0
        MicroSectors US Big Banks Inde,BNKO US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Banks Inde,BNKU US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,114.68735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Banks Inde,BNKZ US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Goldman Sachs Finance Reimagin,GFIN US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        MicroSectors US Big Banks Inde,KNAB US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Roundhill BIG Bank ETF,BIGB US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,3.263391,0.260583,0.0,-0.001524,0.79767,0.0,0.783525,-1.780264,0.0
        GraniteShares 1.5x Long COIN D,CONL US Equity,0.0,0.0,Expression,-0.430711,1.250765,0.044566,0.241343,3.16533,1.694664,-0.091904,-0.250395,1.226884,-1.247502,2.274031,-0.226916,0.885275,0.0
        Global X Financials Covered Ca,FYLG US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Gabelli Financial Services Opp,GABF US Equity,0.0,0.0,Expression,0.0,0.0,0.0,0.0,0.144466,0.0,0.270515,0.0,0.275411,0.595013,0.29757,0.29899,0.0,0.0
    Health Care,0,0.0,0.0,Sum,1436.728419,2713.525758,-510.006802,-1159.1786,-1542.419216,-1508.974093,-339.057592,473.661576,-321.166886,-1322.607864,-102.285303,-1554.88489,-1373.356209,0.0
        Health Care Select Sector SPDR,XLV US Equity,0.0,0.0,Expression,781.050172,1267.880018,-292.746767,-366.928815,-153.254509,-1061.977931,155.780767,1344.163181,160.958833,-1345.730032,293.499405,-1150.363766,-894.909111,0.0
        iShares Biotechnology ETF,IBB US Equity,0.0,0.0,Expression,7.642385,328.52952,152.707155,-54.49039,-328.87918,-177.99734,-223.448135,-114.53737,51.517935,-106.07989,-108.00877,-146.297623,-68.155607,0.0
        Vanguard Health Care ETF,VHT US Equity,0.0,0.0,Expression,275.407809,-43.119597,0.153498,79.805243,6.497463,-28.114077,80.041303,-152.942548,-123.892456,147.050249,-21.682432,-13.771123,-394.890573,0.0
        SPDR S&P Biotech ETF,XBI US Equity,0.0,0.0,Expression,331.674459,863.807778,-302.29078,-289.7796,-627.947724,-90.145764,-425.022452,-131.80989,17.982659,47.484212,-258.598879,-1.23509,202.284002,0.0
        iShares U.S. Healthcare ETF,IYH US Equity,0.0,0.0,Expression,41.30039,27.932865,-13.98785,-0.033605,-27.60869,0.45301,-14.384065,-27.296845,-13.942385,-27.3316,42.239985,-13.848923,-120.713544,0.0
        iShares Global Healthcare ETF,IXJ US Equity,0.0,0.0,Expression,24.44212,408.9953,118.68254,-105.94821,-246.144345,70.14805,129.97979,-253.36022,-122.314515,25.60461,50.73468,75.371581,12.714109,0.0
